StudentNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,Round 1 Assignment,School Enrolled In As Of 11/03/2017,Student's Ethnicity,Does Student Live In CTIP1 Zone? (y/n),Student's Residential Zip Code
2731,664,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,664,"White, Not of Hispanic Origin",N,94132
2732,670,750,593,575,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,593,"White, Not of Hispanic Origin",N,94110
2733,569,479,478,478,479,413,735,589,664,718,509,435,750,786,746,838,876,485,618,729,420,537,714,453,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,479,"White, Not of Hispanic Origin",N,94115
2734,814,786,490,834,872,790,449,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,814,"Black, Not of Hispanic Origin",Y,94109
2735,796,420,420,589,575,478,842,876,814,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,420,"White, Not of Hispanic Origin",N,94114
2736,479,589,413,735,569,796,478,664,435,644,750,782,539,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,479,"White, Not of Hispanic Origin",N,94118
2737,603,618,760,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,603,Hispanic,N,94112
2738,796,478,589,842,420,718,575,479,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,,"White, Not of Hispanic Origin",N,94110
2739,676,750,539,862,876,670,782,485,544,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,539,Asian or Pacific Islander,N,94116
2740,814,735,589,509,718,485,644,505,478,479,490,823,834,420,569,413,872,796,876,676,750,435,722,488,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,"White, Not of Hispanic Origin",N,94117
2741,589,478,796,718,420,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,Declines To State,N,94114
2742,420,478,796,589,722,718,420,435,479,842,539,735,569,664,876,488,413,549,823,644,676,782,862,544,848,750,746,872,801,513,490,562,838,786,814,834,638,505,723,729,867,691,670,790,449,614,859,820,497,656,493,456,680,593,760,650,575,521,625,816,525,481,603,507,830,453,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,"White, Not of Hispanic Origin",N,94131
2743,735,814,589,509,718,485,644,505,478,479,490,823,834,420,569,413,872,796,876,676,750,435,722,488,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,"White, Not of Hispanic Origin",N,94117
2744,786,814,479,823,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,786,Declines To State,N,94115
2745,539,569,750,488,413,644,735,589,435,782,420,478,796,549,505,664,862,722,848,876,544,676,718,670,479,786,823,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,539,Declines To State,N,94122
2746,478,676,589,876,750,539,644,722,488,544,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,,"White, Not of Hispanic Origin",N,94122
2747,786,735,718,505,420,796,722,589,478,644,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,505,"White, Not of Hispanic Origin",N,94114
2748,479,569,823,589,478,814,735,796,676,664,413,862,750,718,782,722,539,644,544,488,876,435,786,842,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declines To State,N,94115
2749,842,575,796,735,488,493,722,478,420,505,680,750,876,670,589,420,838,838,618,746,676,746,644,718,544,782,593,691,876,820,729,537,664,549,569,790,862,848,525,521,453,872,490,723,638,823,562,834,801,456,625,603,481,507,413,830,539,786,656,859,867,497,614,435,650,513,691,729,453,562,816,497,,,,,,,,,,,,,,,,,,,,,680,670,Hispanic,N,94132
2750,569,479,589,823,814,478,796,722,664,509,872,485,478,735,676,848,413,420,750,862,782,876,644,488,539,718,801,549,544,479,838,490,420,786,746,562,562,786,435,746,842,513,638,834,670,505,723,729,729,838,714,790,449,537,614,618,497,497,656,680,680,691,493,859,456,650,575,760,760,525,521,593,603,481,625,507,816,830,453,453,,,,,,,,,,,,,823,823,"White, Not of Hispanic Origin",N,94129
2751,478,539,750,589,676,479,435,876,782,664,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,539,"White, Not of Hispanic Origin",N,94132
2752,497,834,735,435,644,569,478,413,823,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,,Asian or Pacific Islander,N,94107
2753,750,539,488,569,589,876,478,479,722,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,750,Declines To State,N,94116
2754,544,750,676,782,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,544,"White, Not of Hispanic Origin",N,94122
2755,575,505,718,420,670,521,507,820,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,575,"Black, Not of Hispanic Origin",Y,94124
2756,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,521,Asian or Pacific Islander,Y,94124
2757,876,862,750,644,478,876,676,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,876,Declines To State,N,94116
2758,569,735,413,435,478,478,644,664,589,479,750,823,718,796,676,485,420,842,539,722,509,479,488,746,537,544,876,729,876,513,862,714,814,872,420,786,782,838,801,575,670,848,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,Declines To State,N,94118
2759,876,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,876,Declines To State,N,94116
2760,569,479,872,823,848,638,589,478,478,413,876,435,509,485,876,801,814,549,718,490,834,786,786,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,872,Asian or Pacific Islander,N,94109
2761,722,569,848,435,479,549,842,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,859,"White, Not of Hispanic Origin",N,94118
2762,569,735,479,589,664,413,718,796,478,478,435,676,823,814,722,479,485,509,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,413,"White, Not of Hispanic Origin",N,94121
2763,478,478,796,746,485,676,876,644,589,509,718,420,876,670,488,722,479,838,862,750,782,735,569,549,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,"White, Not of Hispanic Origin",N,94131
2764,823,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,823,"Black, Not of Hispanic Origin",Y,94102
2765,478,478,722,589,505,488,420,670,842,539,575,876,796,420,479,479,644,718,735,435,413,549,485,876,676,750,569,848,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,670,Declines To State,N,94131
2766,497,497,796,618,676,413,479,505,842,478,420,435,589,718,722,876,575,509,539,614,723,603,593,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,842,"White, Not of Hispanic Origin",N,94107
2767,479,569,735,796,478,589,718,435,413,478,823,664,644,539,420,420,786,876,722,750,488,876,676,862,782,814,544,537,842,618,479,485,509,493,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,479,Declines To State,N,94118
2768,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,,"White, Not of Hispanic Origin",Y,94115
2769,786,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,,Declines To State,N,94133
2770,435,413,664,676,750,782,569,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,664,"White, Not of Hispanic Origin",N,94121
2771,876,478,796,589,539,722,718,488,644,435,735,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,Declines To State,N,94116
2772,478,478,876,589,676,644,750,544,435,539,485,509,876,796,862,718,413,664,569,848,479,872,823,782,801,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declines To State,N,94122
2773,718,569,589,735,796,479,478,823,420,505,644,876,676,435,722,872,413,782,664,862,562,544,539,488,750,848,801,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,"White, Not of Hispanic Origin",N,94117
2774,722,750,488,876,544,644,670,589,478,796,539,842,676,664,549,435,569,413,848,718,420,735,823,575,746,862,782,479,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,722,Hispanic,N,94127
2775,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,859,Hispanic,N,94103
2776,435,664,413,479,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,,Hispanic,N,94121
2777,537,420,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White, Not of Hispanic Origin",N,94110
2778,823,478,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,,Declines To State,N,94123
2779,796,722,479,718,493,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,809,Hispanic,N,94112
2780,509,848,435,485,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,509,Asian or Pacific Islander,Y,94115
2781,718,735,589,796,569,478,549,786,714,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,,"White, Not of Hispanic Origin",Y,94102
2782,539,478,478,485,589,796,479,676,750,569,420,876,722,413,435,842,664,718,823,876,488,420,544,479,509,862,735,782,814,575,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,,"White, Not of Hispanic Origin",N,94122
2783,796,505,618,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,505,Declines To State,N,94114
2784,420,485,644,589,876,488,718,539,796,872,478,509,479,664,801,848,569,413,479,722,544,435,735,842,505,838,729,449,497,782,676,823,862,750,680,746,746,490,834,549,790,638,562,820,786,691,714,814,760,670,618,723,537,656,816,650,525,575,513,593,867,614,625,493,859,481,456,453,603,521,507,,,,,,,,,,,,,,,,,,,,,,420,420,Declines To State,N,94131
2785,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,820,Asian or Pacific Islander,N,94112
2786,735,796,420,718,823,589,842,478,479,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,505,"White, Not of Hispanic Origin",N,94107
2787,435,664,786,413,479,735,644,478,796,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,435,Declines To State,N,94121
2788,505,842,478,478,735,493,876,420,718,796,722,575,589,488,814,676,644,786,569,479,539,823,413,544,664,750,435,729,420,509,714,485,618,497,670,537,479,801,497,746,816,490,680,603,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,505,"White, Not of Hispanic Origin",N,94110
2789,539,876,670,544,782,862,750,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,539,Hispanic,N,94116
2790,569,718,479,796,589,478,823,842,750,664,413,435,876,735,539,722,575,644,488,544,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,,Hispanic,N,94117
2791,479,796,589,569,823,801,814,413,735,435,478,676,644,718,420,670,722,750,782,842,862,876,872,664,490,539,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,"White, Not of Hispanic Origin",N,94123
2792,544,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,544,Declines To State,N,94116
2793,796,589,760,575,842,525,618,722,478,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,796,Declines To State,Y,94124
2794,823,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,834,Declines To State,N,94109
2795,823,814,479,420,718,589,796,569,735,478,420,413,549,848,801,490,714,562,644,664,676,876,722,544,729,782,842,539,750,488,670,746,729,838,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,834,Declines To State,N,94115
2796,413,569,848,479,664,814,823,589,750,435,549,478,676,722,782,862,485,509,420,644,544,718,735,796,488,876,801,539,490,746,786,842,670,505,638,872,562,513,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,413,"White, Not of Hispanic Origin",N,94115
2797,537,420,618,420,575,842,493,876,722,729,729,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,575,"White, Not of Hispanic Origin",N,94131
2798,497,497,842,718,722,420,420,796,449,714,505,478,537,589,838,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,"White, Not of Hispanic Origin",Y,94110
2799,478,478,718,589,420,420,722,796,842,505,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,Declines To State,N,94110
2800,589,796,478,478,735,676,876,722,420,569,644,479,664,485,750,435,413,539,823,872,782,718,488,537,848,801,490,746,786,820,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,796,"White, Not of Hispanic Origin",N,94131
2801,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,859,Asian or Pacific Islander,Y,94109
2802,479,823,664,413,478,569,435,589,814,544,644,796,750,782,539,420,862,801,735,876,676,722,478,479,488,718,497,842,537,420,513,746,746,505,670,729,485,848,729,838,723,872,786,834,816,786,562,638,760,876,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,479,"White, Not of Hispanic Origin",Y,94110
2803,842,722,575,488,493,478,876,796,670,589,862,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,842,"White, Not of Hispanic Origin",N,94131
2804,729,575,481,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,729,Asian or Pacific Islander,N,94112
2805,539,796,750,722,488,676,420,485,876,589,746,478,664,862,782,718,549,644,544,435,735,670,618,842,413,569,848,814,838,479,786,729,420,746,876,729,823,505,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,"White, Not of Hispanic Origin",N,94116
2806,760,618,656,537,842,575,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,760,"White, Not of Hispanic Origin",N,94110
2807,618,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,Hispanic,N,94110
2808,479,823,664,413,478,569,435,589,814,544,644,796,750,782,539,420,862,801,735,876,676,722,478,479,488,718,497,842,537,420,513,746,746,505,670,729,485,848,729,838,723,872,786,834,816,786,562,638,760,876,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,479,"White, Not of Hispanic Origin",Y,94110
2809,509,479,569,589,823,478,796,676,479,478,750,485,420,718,644,872,722,782,488,735,664,413,420,549,848,876,801,539,814,435,562,862,490,746,746,786,842,513,670,786,505,729,729,638,723,834,838,544,537,575,618,714,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,479,Declines To State,N,94115
2810,801,562,814,823,479,872,638,490,569,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,562,Declines To State,N,94133
2811,589,722,479,478,569,485,796,750,876,420,718,539,644,862,842,435,676,782,664,488,544,549,413,848,823,735,420,479,478,493,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,,Asian or Pacific Islander,N,94114
2812,589,735,479,569,823,718,549,420,872,796,801,834,876,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,735,"White, Not of Hispanic Origin",N,94117
2813,478,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,644,"White, Not of Hispanic Origin",N,94117
2814,842,722,575,488,478,420,497,796,876,493,589,838,497,420,537,718,505,746,680,729,729,664,569,782,413,644,872,676,479,479,750,862,485,509,544,549,735,823,848,876,801,539,814,435,562,562,490,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,575,"White, Not of Hispanic Origin",N,94110
2815,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,525,"Black, Not of Hispanic Origin",N,94115
2816,664,413,435,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,664,Asian or Pacific Islander,N,94121
2817,589,735,478,644,718,676,796,549,782,750,544,876,420,722,569,413,664,479,539,488,862,848,435,842,823,814,872,834,790,801,490,638,656,493,485,562,746,513,729,614,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,589,"White, Not of Hispanic Origin",N,94122
2818,485,478,479,796,589,478,479,676,722,569,876,435,509,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,485,Declines To State,N,94131
2819,569,479,589,478,435,644,413,718,664,848,676,823,814,735,722,872,750,842,876,782,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,,"White, Not of Hispanic Origin",N,94118
2820,750,862,478,539,782,544,644,722,786,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,750,Declines To State,N,94116
2821,801,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,801,Asian or Pacific Islander,N,94109
2822,589,735,478,644,718,676,796,549,782,750,544,876,420,722,569,413,664,479,539,488,862,848,435,842,823,814,872,834,790,801,490,638,656,493,485,562,746,513,729,614,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,589,"White, Not of Hispanic Origin",N,94122
2823,664,413,435,478,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,664,Hispanic,N,94121
2824,842,722,478,478,589,796,420,420,718,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,842,"White, Not of Hispanic Origin",Y,94110
2825,479,723,478,718,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,479,Hispanic,N,94110
2826,569,735,814,479,718,589,823,644,435,786,549,413,848,478,664,676,782,750,872,862,722,420,544,796,488,876,801,539,562,490,746,842,513,505,786,638,834,723,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,569,"White, Not of Hispanic Origin",Y,94115
2827,485,509,876,435,413,872,862,848,848,569,478,664,676,823,644,750,539,796,782,549,544,589,479,562,562,801,420,735,488,842,490,490,790,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,549,Asian or Pacific Islander,N,94118
2828,718,420,796,488,618,814,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,,"Black, Not of Hispanic Origin",N,94117
2829,820,593,729,481,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,820,Asian or Pacific Islander,N,94112
2830,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,537,Hispanic,N,94110
2831,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declines To State,N,94115
2832,435,664,413,569,735,589,479,750,478,718,796,676,644,544,539,420,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,435,"White, Not of Hispanic Origin",N,94121
2833,478,478,479,589,718,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,722,"White, Not of Hispanic Origin",N,94114
